"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"6311747","19019722511000014002003155S3","81261 VIPS GOMEZ MORIN","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","MANUEL GÓMEZ MORÍN","PRIVADA","MARÍA DE LOS ÁNGELES","PRIVADA","SAN ANDRÉS","CALLE","PASO DE LA SIERRA","940",,,,,,"COLONIA","SAN JERONIMO SILLER","CENTRO Y PLAZA COMERCIAL","WALMART GOMEZ MORIN","SN","66250","19","NUEVO LEÓN   ","019","San Pedro Garza García","0001","San Pedro Garza García","0242","013",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.64404492","-100.36099206","2014-12"
"6792028","19039722110003201001003155S2","81265 VIPS CUMBRES ELITE","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","MONTERREY-MIER (PASEO DE LOS LEONES)","CALLE","VIGÉSIMA AVENIDA","AVENIDA","PASEO DE LOS INSURGENTES","CALLE","SÉPTIMA AVENIDA","3201",,,,,,"COLONIA","CUMBRES",,,,"64610","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","0866","019",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.69972232","-100.36280294","2017-03"
"9454233","19039722511011123000003155S7","81280 VIPS REPUBLICA MEXICANA","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","REPÚBLICA MEXICANA","CALLE","CALLE DEL ESTUDIO","AVENIDA","SENDERO NORTE","CALLE","BARCELONA","420",,,,,"ESTACIONAMIENTO","COLONIA","SAN NICOLAS DE LOS GARZA","CENTRO Y PLAZA COMERCIAL","PLAZA DISTRITO 420","SN","66417","19","NUEVO LEÓN   ","046","San Nicolás de los Garza","0001","San Nicolás de los Garza","0447","069",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.76923345","-100.27214655","2023-11"
"10811064","19039722518004231000000000U2","A COMER",,"722518","Restaurantes que preparan otro tipo de alimentos para llevar","0 a 5 personas","AVENIDA","RODRIGO GOMEZ","CALLE","PUEBLA DE LOS ANGELES","CALLE","LAS PLANICIES","CALLE","LOS RODRIGUEZ","5801","B",,,,,"COLONIA","CNOP",,,,"64240","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","0226","038",,,,"Fijo","25.73514569","-100.34250125","2024-11"
"8297442","19039722514016731000000000U6","A DARLE",,"722518","Restaurantes que preparan otro tipo de alimentos para llevar","0 a 5 personas","CALLE","ANTIGUO CAMINO A VILLA DE SANTIAGO","PRIVADA","BOSQUES DEL URO","CALLE","OLIVO HOJI BLANCA","CALLE","OLIVO HOJI BLANCA",,"SN",,,,,"CIUDAD","ANTIGUO CAMINO A VILLA DE",,,,"64986","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","3127","006",,,,"Fijo","25.54863271","-100.22295832","2019-11"
"9752491","19006722517005031000000000U6","A LA MADRE BONELES",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","0 a 5 personas","AVENIDA","LIBANESES","PERIFERICO","NINGUNO","CALLE","BORGOÑA","CALLE","PALERMO","0","SN",,,,,"FRACCIONAMIENTO","ALTARIA CERRADA PIRINEOS",,,,"66649","19","NUEVO LEÓN   ","006","Apodaca","0001","Ciudad Apodaca","0348","052","8180976661",,,"Semifijo","25.71354398","-100.17687127","2024-11"
"10183107","19026722511002141000000000U7","A LO PUEBLA",,"722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","0 a 5 personas","AVENIDA","CAMINO DE SAN PEDRO","CALLE","ZAFIRO","CALLE","RINCON DE LINDA VISTA","PRIVADA","DEL RINCON 1","0","SN",,,,,"FRACCIONAMIENTO","PEDREGAL DE LINDA VISTA",,,,"67110","19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","2296","006","8119766637",,,"Fijo","25.71333149","-100.20444353","2024-11"
"3011137","19039722219021572000000000U3","ACOMER","SENDA SA DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","6 a 10 personas","AVENIDA","GENERAL BERNARDO REYES","CALLE","GENERAL MANUEL GONZALEZ","CALLE","FRANCISCO LEON DE LA BARRA","CALLE","LUIS MORENO","3747","A",,,,,"COLONIA","NIÑO ARTILLERO",,,,"64280","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","0673","020",,,,"Fijo","25.71083749","-100.32774103","2010-07"
"10650966","19039722518004592000000000U7","AH QUE RICO GUISOS Y GUARNICIONES",,"722518","Restaurantes que preparan otro tipo de alimentos para llevar","6 a 10 personas","AVENIDA","PRIMERA","CALLE","CUARTA AVENIDA","CALLE","OCTAVA AVENIDA","CALLE","TERCERA AVENIDA","200",,,,,,"COLONIA","CUMBRES 1",,,,"64610","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","114A","005","8184983131",,,"Fijo","25.69510506","-100.35937102","2024-11"
"10526440","19039722511013751000000000U3","AHOGADITAS TAPATIO",,"722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","0 a 5 personas","AVENIDA","PASEO DE LOS LEONES","OTRO(ESPECIFIQUE)","MANZANA O EDIFICACION CONTIGUA","AVENIDA","PUERTA DE HIERRO","AVENIDA","PUERTA DE HIERRO","0","SN",,,,,"COLONIA","PUERTA DE HIERRO",,,,"64346","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","5481","020",,,,"Semifijo","25.74495005","-100.42116767","2024-11"
"2973347","19039722110002714001000000U5","AL RESTAURANTE",,"722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","11 a 30 personas","CALZADA","FRANCISCO I MADERO","CALLE","IGNACIO ZARAGOZA","CALLE","MARIANO ESCOBEDO","CALLE","JOSE MARIA ARTEAGA","522",,,,,,"COLONIA","CENTRO",,,,"64000","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1510","025","8180818025","CONTACTO@ALRESTAURANT.MX","WWW.ALRESTAURANT.MX","Fijo","25.68334302","-100.30911908","2010-07"
"9700844","19039722517009891000000000U0","AL ROJO VIVO GRILL",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","0 a 5 personas","AVENIDA","CIUDAD DE LOS ANGELES","AVENIDA","FELIX URESTI GOMEZ","CALLE","DIEGO DIAZ DE BERLANGA","CALLE","DIEGO DIAZ DE BERLANGA","4100",,"CENTRO COMERCIAL SORIANA FELIX U GOMEZ","PLANTA BAJA","5",,"COLONIA","JUANA DE ARCO","CENTRO Y PLAZA COMERCIAL","CENTRO COMERCIAL SORIANA FELIX U GOMEZ","5","64510","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","0851","021","8129266393",,,"Fijo","25.70797688","-100.28281837","2024-11"
"6371673","19039722110000401002004464S1","ALAMACEN REGIONAL MONTERREY","NOVALIMENTOS DE MEXICO S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","0 a 5 personas","CALLE","GALEANA","CALLE","FRANCISCO I MADERO","CALLE","CAMINO A LA HUASTECA","AVENIDA","ACUEDUCTO","490",,,,"124",,"COLONIA","EL LECHUGAL",,,,"66376","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1826","036",,"GMONTERREY@CMR.MX",,"Fijo","25.67224661","-100.38196932","2010-07"
"9150940","19026722516001681000000000U2","ALAMO WINGS",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","6 a 10 personas","AVENIDA","GENERAL PLUTARCO ELIAS CALLES","CALLE","SOTO VEGA","CALLE","DEL RIO","CALLE","RIACHUELO","3038","C",,,,,"COLONIA","RIVERAS DEL RIO",,,,"67160","19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","0482","009","8112567179",,,"Fijo","25.68430927","-100.22477116","2019-11"
"11780646","19026722517006243000000000U4","ALAS ALONAS",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","11 a 30 personas","AVENIDA","Camino de San Pedro","CALLE","Plaza Norte","AVENIDA","Pío XII","CALLE","Plaza Oriente","1100",,,,"0",,"FRACCIONAMIENTO","RECIDENCIAL SAN ANTONIO",,,,,"19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","2296","016","8125910674",,,"Fijo","25.71086867","-100.2048023","2025-04"
"11152036","19006722511001981000000000U9","ALAS BURGER",,"722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","0 a 5 personas","CALLE","FRANCISCO GOYTO","CALLE","GABRIELA MISTRAL","CALLE","ANGELES MASTRETTA","CALLE","PABLO NERUDA","226",,,,,,"FRACCIONAMIENTO","ASTURIAS",,,,"66620","19","NUEVO LEÓN   ","006","Apodaca","0403","Triana","0282","011",,,,"Fijo","25.79748875","-100.16994582","2024-11"
"9548531","19039722517010441000000000U1","ALE BURGUER",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","0 a 5 personas","AVENIDA","RICARDO COVARRUBIAS","CALLE","NECAXA","CALLE","ORO","AVENIDA","RICARDO COVARRUBIAS","0","SN",,,,,"COLONIA","ESTADIO",,,,"64830","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","4661","035","8180516042",,,"Fijo","25.65259952","-100.28233882","2024-11"
"11027538","19021722517003891000000000U4","ALEJANDRO MARTINEZ GUTIEEREZ",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","0 a 5 personas","CALLE","SAN FRANCISCO DE ASIS","CALLE","CARDENAL","CALLE","CARBONERO","CALLE","AGUILA REAL","0","SN",,,,,"FRACCIONAMIENTO","VILLAS DE SAN FRANCISCO",,,,"66062","19","NUEVO LEÓN   ","021","General Escobedo","0001","Ciudad General Escobedo","1658","021",,,,"Fijo","25.8323912","-100.36690094","2024-11"
"9721748","19006722517004351000000000U9","ALES BURGER",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","0 a 5 personas","CALLE","PORTAL DE ALBACETE","CALLE","SAN ISIDRO","CALLE","CAMINO AL AEROPUERTO","CALLE","CAMINO AL AEROPUERTO","409",,,,,,"COLONIA","PORTAL DE HUINALA",,,,"66646","19","NUEVO LEÓN   ","006","Apodaca","0001","Ciudad Apodaca","1628","019","8128909496",,,"Fijo","25.75502835","-100.15227055","2024-11"
"7540634","19046722517002111000000000U5","ALETZIOS PIZZERIA Y RISTOARNTE","ALETZIOS PIZZERIA Y SERVICIOS GASTRONOMICOS SA DE CV","722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","6 a 10 personas","CALLE","MONTE OLIMPO","AVENIDA","VESUBIO","CALLE","PICO DE LA MALINCHE","CALLE","MONTE VISO","1108",,,,"0",,"COLONIA","BALCONES DE LAS PUENTES",,,,"66466","19","NUEVO LEÓN   ","046","San Nicolás de los Garza","0001","San Nicolás de los Garza","1021","034",,,,"Fijo","25.74138434","-100.27439806","2019-11"
"2986224","19026722517002411000000000U1","ALEX BURGUER",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","0 a 5 personas","AVENIDA","SANTA ROSA DE LIMA","CALLE","FATIMA","CALLE","NOCHEBUENA","CALLE","LIMON","0","SN",,,,,"RESIDENCIAL","SANTA MARIA",,,,"67190","19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","2027","051","8183932591",,,"Semifijo","25.65446809","-100.19269428","2014-12"
"11509620","19021722516001831000000000U4","ALEX GRILL",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","0 a 5 personas","AVENIDA","AVENIDA DEL LATON","AVENIDA","UNION","CALLE","ROMA","PRIVADA","SAN REMO","0","SN",,,,,"FRACCIONAMIENTO","SANTA LUZ",,,,"66070","19","NUEVO LEÓN   ","021","General Escobedo","0001","Ciudad General Escobedo","1484","034","8121908856",,,"Fijo","25.79585236","-100.34416519","2024-11"
"8996978","19019722516000561000000000U2","ALFREDO PIZZAS",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","0 a 5 personas","CALLE","PASEO DEL ROSARIO","CALLE","PASEO ANA MARIA","CALLE","PASEO BELINDA","CALLE","PASEO IRMA","873",,,,"0",,"COLONIA","VALLE DEL MIRADOR",,,,"66260","19","NUEVO LEÓN   ","019","San Pedro Garza García","0001","San Pedro Garza García","0401","011",,,,"Fijo","25.642423","-100.31736286","2019-11"
"7805703","19019722330000013000000000U0","ALI BABA MEDITERREANO GRILL",,"722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","6 a 10 personas","AVENIDA","JOSE VASCONCELOS","PRIVADA","CEDROS","CALLE","LOS ROSALES","AVENIDA","JOSE VASCONCELOS","345",,"PLAZA TANARAH","PENTHOUSE","23132",,"COLONIA","SANTA ENGRACIA","CENTRO Y PLAZA COMERCIAL","PLAZA TANARAH","231","66267","19","NUEVO LEÓN   ","019","San Pedro Garza García","0001","San Pedro Garza García","0100","012",,"ALIBADAMEGAGRILL@GMAIL.COM",,"Fijo","25.65343848","-100.34912914","2019-11"
"9787712","19039722511014235000000000U6","ALIMENTOS AGRIDULCES","ALIMENTOS AGRIDULCES SA DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","CALLE","JUAN IGNACIO RAMON","CALLE","MARIANO ESCOBEDO","CALLE","IGNACIO ZARAGOZA","CALLE","MARIANO MATAMOROS","506",,"EDIFICIO LATINO","PISO 28","28","28-28F","COLONIA","CENTRO","EDIFICIO COMERCIAL Y DE SERVICIOS","LATINO","28 F","64000","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1690","003",,,,"Fijo","25.67104754","-100.31113118","2024-11"
